model,tree,sdratio,modelType,rateParam,rateEstimate
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0A,2.061153622438558e-9
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1A,0.14739874492174043
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,eps0A,2.061153622438558e-9
chen-sd20-bisse-equal,chen,0.2,bisse,q0A1A,0.0839038410128988
chen-sd20-bisse-equal,chen,0.2,bisse,q1A0A,0.0839038410128988
chen-sd20-bisse-equal,chen,0.2,bisse,q0A0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0A0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0A0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1A1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1A1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1A1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B0A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B1A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C0A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C1A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D0A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D1A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D1C,NA
chen-sd20-bisse,chen,0.2,bisse,turnover0A,2.061153622438558e-9
chen-sd20-bisse,chen,0.2,bisse,turnover1A,0.14272721220043852
chen-sd20-bisse,chen,0.2,bisse,turnover0B,NA
chen-sd20-bisse,chen,0.2,bisse,turnover1B,NA
chen-sd20-bisse,chen,0.2,bisse,turnover0C,NA
chen-sd20-bisse,chen,0.2,bisse,turnover1C,NA
chen-sd20-bisse,chen,0.2,bisse,turnover0D,NA
chen-sd20-bisse,chen,0.2,bisse,turnover1D,NA
chen-sd20-bisse,chen,0.2,bisse,eps0A,2.061153622438558e-9
chen-sd20-bisse,chen,0.2,bisse,q0A1A,2.061153622438558e-9
chen-sd20-bisse,chen,0.2,bisse,q1A0A,0.06117123423293767
chen-sd20-bisse,chen,0.2,bisse,q0A0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0A0C,NA
chen-sd20-bisse,chen,0.2,bisse,q0A0D,NA
chen-sd20-bisse,chen,0.2,bisse,q1A1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1A1C,NA
chen-sd20-bisse,chen,0.2,bisse,q1A1D,NA
chen-sd20-bisse,chen,0.2,bisse,q0B1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1B0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0B0A,NA
chen-sd20-bisse,chen,0.2,bisse,q0B0C,NA
chen-sd20-bisse,chen,0.2,bisse,q0B0D,NA
chen-sd20-bisse,chen,0.2,bisse,q1B1A,NA
chen-sd20-bisse,chen,0.2,bisse,q1B1C,NA
chen-sd20-bisse,chen,0.2,bisse,q1B1D,NA
chen-sd20-bisse,chen,0.2,bisse,q0C1C,NA
chen-sd20-bisse,chen,0.2,bisse,q1C0C,NA
chen-sd20-bisse,chen,0.2,bisse,q0C0A,NA
chen-sd20-bisse,chen,0.2,bisse,q0C0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0C0D,NA
chen-sd20-bisse,chen,0.2,bisse,q1C1A,NA
chen-sd20-bisse,chen,0.2,bisse,q1C1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1C1D,NA
chen-sd20-bisse,chen,0.2,bisse,q0D1D,NA
chen-sd20-bisse,chen,0.2,bisse,q1D0D,NA
chen-sd20-bisse,chen,0.2,bisse,q0D0A,NA
chen-sd20-bisse,chen,0.2,bisse,q0D0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0D0C,NA
chen-sd20-bisse,chen,0.2,bisse,q1D1A,NA
chen-sd20-bisse,chen,0.2,bisse,q1D1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1D1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,turnover0A,2.061153622438558e-9
chen-sd20-cid2-equal,chen,0.2,cid2,turnover1A,2.061153622438558e-9
chen-sd20-cid2-equal,chen,0.2,cid2,turnover0B,0.1354230701264851
chen-sd20-cid2-equal,chen,0.2,cid2,turnover1B,0.1354230701264851
chen-sd20-cid2-equal,chen,0.2,cid2,turnover0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,turnover1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,turnover0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,turnover1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,eps0A,2.061153622438558e-9
chen-sd20-cid2-equal,chen,0.2,cid2,q0A1A,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1A0A,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0A0B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0A0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0A0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1A1B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1A1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1A1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0B1B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1B0B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0B0A,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0B0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0B0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1B1A,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1B1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1B1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C0A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C0B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C1A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C1B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D0A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D0B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D1A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D1B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D1C,NA
chen-sd20-cid2,chen,0.2,cid2,turnover0A,0.1012872571443298
chen-sd20-cid2,chen,0.2,cid2,turnover1A,0.1012872571443298
chen-sd20-cid2,chen,0.2,cid2,turnover0B,0.10113279483172204
chen-sd20-cid2,chen,0.2,cid2,turnover1B,0.10113279483172204
chen-sd20-cid2,chen,0.2,cid2,turnover0C,NA
chen-sd20-cid2,chen,0.2,cid2,turnover1C,NA
chen-sd20-cid2,chen,0.2,cid2,turnover0D,NA
chen-sd20-cid2,chen,0.2,cid2,turnover1D,NA
chen-sd20-cid2,chen,0.2,cid2,eps0A,4.20673641734501e-9
chen-sd20-cid2,chen,0.2,cid2,q0A1A,0.05583943068333149
chen-sd20-cid2,chen,0.2,cid2,q1A0A,0.04530744917263043
chen-sd20-cid2,chen,0.2,cid2,q0A0B,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q0A0C,NA
chen-sd20-cid2,chen,0.2,cid2,q0A0D,NA
chen-sd20-cid2,chen,0.2,cid2,q1A1B,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q1A1C,NA
chen-sd20-cid2,chen,0.2,cid2,q1A1D,NA
chen-sd20-cid2,chen,0.2,cid2,q0B1B,0.05583943068333149
chen-sd20-cid2,chen,0.2,cid2,q1B0B,0.04530744917263043
chen-sd20-cid2,chen,0.2,cid2,q0B0A,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q0B0C,NA
chen-sd20-cid2,chen,0.2,cid2,q0B0D,NA
chen-sd20-cid2,chen,0.2,cid2,q1B1A,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q1B1C,NA
chen-sd20-cid2,chen,0.2,cid2,q1B1D,NA
chen-sd20-cid2,chen,0.2,cid2,q0C1C,NA
chen-sd20-cid2,chen,0.2,cid2,q1C0C,NA
chen-sd20-cid2,chen,0.2,cid2,q0C0A,NA
chen-sd20-cid2,chen,0.2,cid2,q0C0B,NA
chen-sd20-cid2,chen,0.2,cid2,q0C0D,NA
chen-sd20-cid2,chen,0.2,cid2,q1C1A,NA
chen-sd20-cid2,chen,0.2,cid2,q1C1B,NA
chen-sd20-cid2,chen,0.2,cid2,q1C1D,NA
chen-sd20-cid2,chen,0.2,cid2,q0D1D,NA
chen-sd20-cid2,chen,0.2,cid2,q1D0D,NA
chen-sd20-cid2,chen,0.2,cid2,q0D0A,NA
chen-sd20-cid2,chen,0.2,cid2,q0D0B,NA
chen-sd20-cid2,chen,0.2,cid2,q0D0C,NA
chen-sd20-cid2,chen,0.2,cid2,q1D1A,NA
chen-sd20-cid2,chen,0.2,cid2,q1D1B,NA
chen-sd20-cid2,chen,0.2,cid2,q1D1C,NA
chen-sd20-cid4-equal,chen,0.2,cid4,turnover0A,2.061153622438558e-9
chen-sd20-cid4-equal,chen,0.2,cid4,turnover1A,2.061153622438558e-9
chen-sd20-cid4-equal,chen,0.2,cid4,turnover0B,0.020420435910098043
chen-sd20-cid4-equal,chen,0.2,cid4,turnover1B,0.020420435910098043
chen-sd20-cid4-equal,chen,0.2,cid4,turnover0C,0.17940331622954683
chen-sd20-cid4-equal,chen,0.2,cid4,turnover1C,0.17940331622954683
chen-sd20-cid4-equal,chen,0.2,cid4,turnover0D,0.020421331620612843
chen-sd20-cid4-equal,chen,0.2,cid4,turnover1D,0.020421331620612843
chen-sd20-cid4-equal,chen,0.2,cid4,eps0A,2.061153622438558e-9
chen-sd20-cid4-equal,chen,0.2,cid4,q0A1A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1A0A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0A0B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0A0C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0A0D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1A1B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1A1C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1A1D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0B1B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1B0B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0B0A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0B0C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0B0D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1B1A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1B1C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1B1D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0C1C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1C0C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0C0A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0C0B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0C0D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1C1A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1C1B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1C1D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0D1D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1D0D,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0D0A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0D0B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q0D0C,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1D1A,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1D1B,0.05053626944405686
chen-sd20-cid4-equal,chen,0.2,cid4,q1D1C,0.05053626944405686
chen-sd20-cid4,chen,0.2,cid4,turnover0A,0.01971959576513287
chen-sd20-cid4,chen,0.2,cid4,turnover1A,0.01971959576513287
chen-sd20-cid4,chen,0.2,cid4,turnover0B,0.01960146747798954
chen-sd20-cid4,chen,0.2,cid4,turnover1B,0.01960146747798954
chen-sd20-cid4,chen,0.2,cid4,turnover0C,2.061153622438558e-9
chen-sd20-cid4,chen,0.2,cid4,turnover1C,2.061153622438558e-9
chen-sd20-cid4,chen,0.2,cid4,turnover0D,0.17608593159616537
chen-sd20-cid4,chen,0.2,cid4,turnover1D,0.17608593159616537
chen-sd20-cid4,chen,0.2,cid4,eps0A,2.061153622438558e-9
chen-sd20-cid4,chen,0.2,cid4,q0A1A,0.055817730696494344
chen-sd20-cid4,chen,0.2,cid4,q1A0A,0.045309708012152866
chen-sd20-cid4,chen,0.2,cid4,q0A0B,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0A0C,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0A0D,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1A1B,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1A1C,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1A1D,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0B1B,0.055817730696494344
chen-sd20-cid4,chen,0.2,cid4,q1B0B,0.045309708012152866
chen-sd20-cid4,chen,0.2,cid4,q0B0A,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0B0C,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0B0D,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1B1A,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1B1C,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1B1D,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0C1C,0.055817730696494344
chen-sd20-cid4,chen,0.2,cid4,q1C0C,0.045309708012152866
chen-sd20-cid4,chen,0.2,cid4,q0C0A,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0C0B,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0C0D,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1C1A,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1C1B,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1C1D,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0D1D,0.055817730696494344
chen-sd20-cid4,chen,0.2,cid4,q1D0D,0.045309708012152866
chen-sd20-cid4,chen,0.2,cid4,q0D0A,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0D0B,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q0D0C,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1D1A,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1D1B,0.04732328205315519
chen-sd20-cid4,chen,0.2,cid4,q1D1C,0.04732328205315519
chen-sd20-hisse-equal,chen,0.2,hisse,turnover0A,2.061153622438558e-9
chen-sd20-hisse-equal,chen,0.2,hisse,turnover1A,0.0379019563491299
chen-sd20-hisse-equal,chen,0.2,hisse,turnover0B,0.02460356199465269
chen-sd20-hisse-equal,chen,0.2,hisse,turnover1B,0.17849695211837868
chen-sd20-hisse-equal,chen,0.2,hisse,turnover0C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,turnover1C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,turnover0D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,turnover1D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,eps0A,2.061153622438558e-9
chen-sd20-hisse-equal,chen,0.2,hisse,q0A1A,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q1A0A,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q0A0B,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q0A0C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0A0D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1A1B,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q1A1C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1A1D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0B1B,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q1B0B,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q0B0A,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q0B0C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0B0D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1B1A,0.07573495052301046
chen-sd20-hisse-equal,chen,0.2,hisse,q1B1C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1B1D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0C1C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1C0C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0C0A,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0C0B,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0C0D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1C1A,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1C1B,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1C1D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0D1D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1D0D,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0D0A,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0D0B,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q0D0C,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1D1A,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1D1B,NA
chen-sd20-hisse-equal,chen,0.2,hisse,q1D1C,NA
chen-sd20-hisse,chen,0.2,hisse,turnover0A,2.061153622438558e-9
chen-sd20-hisse,chen,0.2,hisse,turnover1A,0.14858151251121263
chen-sd20-hisse,chen,0.2,hisse,turnover0B,2.061153622438558e-9
chen-sd20-hisse,chen,0.2,hisse,turnover1B,0.4132218832379361
chen-sd20-hisse,chen,0.2,hisse,turnover0C,NA
chen-sd20-hisse,chen,0.2,hisse,turnover1C,NA
chen-sd20-hisse,chen,0.2,hisse,turnover0D,NA
chen-sd20-hisse,chen,0.2,hisse,turnover1D,NA
chen-sd20-hisse,chen,0.2,hisse,eps0A,2.061153622438558e-9
chen-sd20-hisse,chen,0.2,hisse,q0A1A,0.07544379780639317
chen-sd20-hisse,chen,0.2,hisse,q1A0A,2.061153622438558e-9
chen-sd20-hisse,chen,0.2,hisse,q0A0B,0.06196662433362943
chen-sd20-hisse,chen,0.2,hisse,q0A0C,NA
chen-sd20-hisse,chen,0.2,hisse,q0A0D,NA
chen-sd20-hisse,chen,0.2,hisse,q1A1B,0.06196662433362943
chen-sd20-hisse,chen,0.2,hisse,q1A1C,NA
chen-sd20-hisse,chen,0.2,hisse,q1A1D,NA
chen-sd20-hisse,chen,0.2,hisse,q0B1B,2.061153622438558e-9
chen-sd20-hisse,chen,0.2,hisse,q1B0B,2.885565083591395
chen-sd20-hisse,chen,0.2,hisse,q0B0A,0.06196662433362943
chen-sd20-hisse,chen,0.2,hisse,q0B0C,NA
chen-sd20-hisse,chen,0.2,hisse,q0B0D,NA
chen-sd20-hisse,chen,0.2,hisse,q1B1A,0.06196662433362943
chen-sd20-hisse,chen,0.2,hisse,q1B1C,NA
chen-sd20-hisse,chen,0.2,hisse,q1B1D,NA
chen-sd20-hisse,chen,0.2,hisse,q0C1C,NA
chen-sd20-hisse,chen,0.2,hisse,q1C0C,NA
chen-sd20-hisse,chen,0.2,hisse,q0C0A,NA
chen-sd20-hisse,chen,0.2,hisse,q0C0B,NA
