model,tree,sdratio,modelType,rateParam,rateEstimate
chen-sd20-hisse,chen,0.2,hisse,q0C0D,NA
chen-sd20-hisse,chen,0.2,hisse,q1C1A,NA
chen-sd20-hisse,chen,0.2,hisse,q1C1B,NA
chen-sd20-hisse,chen,0.2,hisse,q1C1D,NA
chen-sd20-hisse,chen,0.2,hisse,q0D1D,NA
chen-sd20-hisse,chen,0.2,hisse,q1D0D,NA
chen-sd20-hisse,chen,0.2,hisse,q0D0A,NA
chen-sd20-hisse,chen,0.2,hisse,q0D0B,NA
chen-sd20-hisse,chen,0.2,hisse,q0D0C,NA
chen-sd20-hisse,chen,0.2,hisse,q1D1A,NA
chen-sd20-hisse,chen,0.2,hisse,q1D1B,NA
chen-sd20-hisse,chen,0.2,hisse,q1D1C,NA
chen-sd20-null-equal,chen,0.2,null,turnover0A,0.10121507497996773
chen-sd20-null-equal,chen,0.2,null,turnover1A,0.10121507497996773
chen-sd20-null-equal,chen,0.2,null,turnover0B,NA
chen-sd20-null-equal,chen,0.2,null,turnover1B,NA
chen-sd20-null-equal,chen,0.2,null,turnover0C,NA
chen-sd20-null-equal,chen,0.2,null,turnover1C,NA
chen-sd20-null-equal,chen,0.2,null,turnover0D,NA
chen-sd20-null-equal,chen,0.2,null,turnover1D,NA
chen-sd20-null-equal,chen,0.2,null,eps0A,2.061153622438558e-9
chen-sd20-null-equal,chen,0.2,null,q0A1A,0.05098225579712641
chen-sd20-null-equal,chen,0.2,null,q1A0A,0.05098225579712641
chen-sd20-null-equal,chen,0.2,null,q0A0B,NA
chen-sd20-null-equal,chen,0.2,null,q0A0C,NA
chen-sd20-null-equal,chen,0.2,null,q0A0D,NA
chen-sd20-null-equal,chen,0.2,null,q1A1B,NA
chen-sd20-null-equal,chen,0.2,null,q1A1C,NA
chen-sd20-null-equal,chen,0.2,null,q1A1D,NA
chen-sd20-null-equal,chen,0.2,null,q0B1B,NA
chen-sd20-null-equal,chen,0.2,null,q1B0B,NA
chen-sd20-null-equal,chen,0.2,null,q0B0A,NA
chen-sd20-null-equal,chen,0.2,null,q0B0C,NA
chen-sd20-null-equal,chen,0.2,null,q0B0D,NA
chen-sd20-null-equal,chen,0.2,null,q1B1A,NA
chen-sd20-null-equal,chen,0.2,null,q1B1C,NA
chen-sd20-null-equal,chen,0.2,null,q1B1D,NA
chen-sd20-null-equal,chen,0.2,null,q0C1C,NA
chen-sd20-null-equal,chen,0.2,null,q1C0C,NA
chen-sd20-null-equal,chen,0.2,null,q0C0A,NA
chen-sd20-null-equal,chen,0.2,null,q0C0B,NA
chen-sd20-null-equal,chen,0.2,null,q0C0D,NA
chen-sd20-null-equal,chen,0.2,null,q1C1A,NA
chen-sd20-null-equal,chen,0.2,null,q1C1B,NA
chen-sd20-null-equal,chen,0.2,null,q1C1D,NA
chen-sd20-null-equal,chen,0.2,null,q0D1D,NA
chen-sd20-null-equal,chen,0.2,null,q1D0D,NA
chen-sd20-null-equal,chen,0.2,null,q0D0A,NA
chen-sd20-null-equal,chen,0.2,null,q0D0B,NA
chen-sd20-null-equal,chen,0.2,null,q0D0C,NA
chen-sd20-null-equal,chen,0.2,null,q1D1A,NA
chen-sd20-null-equal,chen,0.2,null,q1D1B,NA
chen-sd20-null-equal,chen,0.2,null,q1D1C,NA
chen-sd20-null,chen,0.2,null,turnover0A,0.10120591990186201
chen-sd20-null,chen,0.2,null,turnover1A,0.10120591990186201
chen-sd20-null,chen,0.2,null,turnover0B,NA
chen-sd20-null,chen,0.2,null,turnover1B,NA
chen-sd20-null,chen,0.2,null,turnover0C,NA
chen-sd20-null,chen,0.2,null,turnover1C,NA
chen-sd20-null,chen,0.2,null,turnover0D,NA
chen-sd20-null,chen,0.2,null,turnover1D,NA
chen-sd20-null,chen,0.2,null,eps0A,2.061153622438558e-9
chen-sd20-null,chen,0.2,null,q0A1A,0.055865021669049365
chen-sd20-null,chen,0.2,null,q1A0A,0.04535033625422333
chen-sd20-null,chen,0.2,null,q0A0B,NA
chen-sd20-null,chen,0.2,null,q0A0C,NA
chen-sd20-null,chen,0.2,null,q0A0D,NA
chen-sd20-null,chen,0.2,null,q1A1B,NA
chen-sd20-null,chen,0.2,null,q1A1C,NA
chen-sd20-null,chen,0.2,null,q1A1D,NA
chen-sd20-null,chen,0.2,null,q0B1B,NA
chen-sd20-null,chen,0.2,null,q1B0B,NA
chen-sd20-null,chen,0.2,null,q0B0A,NA
chen-sd20-null,chen,0.2,null,q0B0C,NA
chen-sd20-null,chen,0.2,null,q0B0D,NA
chen-sd20-null,chen,0.2,null,q1B1A,NA
chen-sd20-null,chen,0.2,null,q1B1C,NA
chen-sd20-null,chen,0.2,null,q1B1D,NA
chen-sd20-null,chen,0.2,null,q0C1C,NA
chen-sd20-null,chen,0.2,null,q1C0C,NA
chen-sd20-null,chen,0.2,null,q0C0A,NA
chen-sd20-null,chen,0.2,null,q0C0B,NA
chen-sd20-null,chen,0.2,null,q0C0D,NA
chen-sd20-null,chen,0.2,null,q1C1A,NA
chen-sd20-null,chen,0.2,null,q1C1B,NA
chen-sd20-null,chen,0.2,null,q1C1D,NA
chen-sd20-null,chen,0.2,null,q0D1D,NA
chen-sd20-null,chen,0.2,null,q1D0D,NA
chen-sd20-null,chen,0.2,null,q0D0A,NA
chen-sd20-null,chen,0.2,null,q0D0B,NA
chen-sd20-null,chen,0.2,null,q0D0C,NA
chen-sd20-null,chen,0.2,null,q1D1A,NA
chen-sd20-null,chen,0.2,null,q1D1B,NA
chen-sd20-null,chen,0.2,null,q1D1C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,turnover0A,2.061153622438558e-9
chen-sd10-bisse-equal,chen,0.1,bisse,turnover1A,0.1392080391421355
chen-sd10-bisse-equal,chen,0.1,bisse,turnover0B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,turnover1B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,turnover0C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,turnover1C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,turnover0D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,turnover1D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,eps0A,2.061153622438558e-9
chen-sd10-bisse-equal,chen,0.1,bisse,q0A1A,0.0624689859768496
chen-sd10-bisse-equal,chen,0.1,bisse,q1A0A,0.0624689859768496
chen-sd10-bisse-equal,chen,0.1,bisse,q0A0B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0A0C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0A0D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1A1B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1A1C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1A1D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0B1B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1B0B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0B0A,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0B0C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0B0D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1B1A,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1B1C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1B1D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0C1C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1C0C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0C0A,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0C0B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0C0D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1C1A,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1C1B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1C1D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0D1D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1D0D,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0D0A,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0D0B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q0D0C,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1D1A,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1D1B,NA
chen-sd10-bisse-equal,chen,0.1,bisse,q1D1C,NA
chen-sd10-bisse,chen,0.1,bisse,turnover0A,2.061153622438558e-9
chen-sd10-bisse,chen,0.1,bisse,turnover1A,0.13700345037909092
chen-sd10-bisse,chen,0.1,bisse,turnover0B,NA
chen-sd10-bisse,chen,0.1,bisse,turnover1B,NA
chen-sd10-bisse,chen,0.1,bisse,turnover0C,NA
chen-sd10-bisse,chen,0.1,bisse,turnover1C,NA
chen-sd10-bisse,chen,0.1,bisse,turnover0D,NA
chen-sd10-bisse,chen,0.1,bisse,turnover1D,NA
chen-sd10-bisse,chen,0.1,bisse,eps0A,2.061153622438558e-9
chen-sd10-bisse,chen,0.1,bisse,q0A1A,0.01751384371277434
chen-sd10-bisse,chen,0.1,bisse,q1A0A,0.053729982689925015
chen-sd10-bisse,chen,0.1,bisse,q0A0B,NA
chen-sd10-bisse,chen,0.1,bisse,q0A0C,NA
chen-sd10-bisse,chen,0.1,bisse,q0A0D,NA
chen-sd10-bisse,chen,0.1,bisse,q1A1B,NA
chen-sd10-bisse,chen,0.1,bisse,q1A1C,NA
chen-sd10-bisse,chen,0.1,bisse,q1A1D,NA
chen-sd10-bisse,chen,0.1,bisse,q0B1B,NA
chen-sd10-bisse,chen,0.1,bisse,q1B0B,NA
chen-sd10-bisse,chen,0.1,bisse,q0B0A,NA
chen-sd10-bisse,chen,0.1,bisse,q0B0C,NA
chen-sd10-bisse,chen,0.1,bisse,q0B0D,NA
chen-sd10-bisse,chen,0.1,bisse,q1B1A,NA
chen-sd10-bisse,chen,0.1,bisse,q1B1C,NA
chen-sd10-bisse,chen,0.1,bisse,q1B1D,NA
chen-sd10-bisse,chen,0.1,bisse,q0C1C,NA
chen-sd10-bisse,chen,0.1,bisse,q1C0C,NA
chen-sd10-bisse,chen,0.1,bisse,q0C0A,NA
chen-sd10-bisse,chen,0.1,bisse,q0C0B,NA
chen-sd10-bisse,chen,0.1,bisse,q0C0D,NA
chen-sd10-bisse,chen,0.1,bisse,q1C1A,NA
chen-sd10-bisse,chen,0.1,bisse,q1C1B,NA
chen-sd10-bisse,chen,0.1,bisse,q1C1D,NA
chen-sd10-bisse,chen,0.1,bisse,q0D1D,NA
chen-sd10-bisse,chen,0.1,bisse,q1D0D,NA
chen-sd10-bisse,chen,0.1,bisse,q0D0A,NA
chen-sd10-bisse,chen,0.1,bisse,q0D0B,NA
chen-sd10-bisse,chen,0.1,bisse,q0D0C,NA
chen-sd10-bisse,chen,0.1,bisse,q1D1A,NA
chen-sd10-bisse,chen,0.1,bisse,q1D1B,NA
chen-sd10-bisse,chen,0.1,bisse,q1D1C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,turnover0A,2.061153622438558e-9
chen-sd10-cid2-equal,chen,0.1,cid2,turnover1A,2.061153622438558e-9
chen-sd10-cid2-equal,chen,0.1,cid2,turnover0B,0.1344946687352292
chen-sd10-cid2-equal,chen,0.1,cid2,turnover1B,0.1344946687352292
chen-sd10-cid2-equal,chen,0.1,cid2,turnover0C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,turnover1C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,turnover0D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,turnover1D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,eps0A,2.061153622438558e-9
chen-sd10-cid2-equal,chen,0.1,cid2,q0A1A,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q1A0A,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q0A0B,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q0A0C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0A0D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1A1B,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q1A1C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1A1D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0B1B,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q1B0B,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q0B0A,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q0B0C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0B0D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1B1A,0.05453115036365207
chen-sd10-cid2-equal,chen,0.1,cid2,q1B1C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1B1D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0C1C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1C0C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0C0A,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0C0B,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0C0D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1C1A,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1C1B,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1C1D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0D1D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1D0D,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0D0A,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0D0B,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q0D0C,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1D1A,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1D1B,NA
chen-sd10-cid2-equal,chen,0.1,cid2,q1D1C,NA
chen-sd10-cid2,chen,0.1,cid2,turnover0A,2.061153622438558e-9
chen-sd10-cid2,chen,0.1,cid2,turnover1A,2.061153622438558e-9
chen-sd10-cid2,chen,0.1,cid2,turnover0B,0.15115815577056105
chen-sd10-cid2,chen,0.1,cid2,turnover1B,0.15115815577056105
chen-sd10-cid2,chen,0.1,cid2,turnover0C,NA
chen-sd10-cid2,chen,0.1,cid2,turnover1C,NA
chen-sd10-cid2,chen,0.1,cid2,turnover0D,NA
chen-sd10-cid2,chen,0.1,cid2,turnover1D,NA
chen-sd10-cid2,chen,0.1,cid2,eps0A,2.061153622438558e-9
chen-sd10-cid2,chen,0.1,cid2,q0A1A,0.07228735069655565
chen-sd10-cid2,chen,0.1,cid2,q1A0A,0.04618823001511283
chen-sd10-cid2,chen,0.1,cid2,q0A0B,0.11465389194677468
chen-sd10-cid2,chen,0.1,cid2,q0A0C,NA
chen-sd10-cid2,chen,0.1,cid2,q0A0D,NA
chen-sd10-cid2,chen,0.1,cid2,q1A1B,0.11465389194677468
chen-sd10-cid2,chen,0.1,cid2,q1A1C,NA
chen-sd10-cid2,chen,0.1,cid2,q1A1D,NA
chen-sd10-cid2,chen,0.1,cid2,q0B1B,0.07228735069655565
chen-sd10-cid2,chen,0.1,cid2,q1B0B,0.04618823001511283
chen-sd10-cid2,chen,0.1,cid2,q0B0A,0.11465389194677468
chen-sd10-cid2,chen,0.1,cid2,q0B0C,NA
chen-sd10-cid2,chen,0.1,cid2,q0B0D,NA
chen-sd10-cid2,chen,0.1,cid2,q1B1A,0.11465389194677468
chen-sd10-cid2,chen,0.1,cid2,q1B1C,NA
chen-sd10-cid2,chen,0.1,cid2,q1B1D,NA
chen-sd10-cid2,chen,0.1,cid2,q0C1C,NA
chen-sd10-cid2,chen,0.1,cid2,q1C0C,NA
chen-sd10-cid2,chen,0.1,cid2,q0C0A,NA
chen-sd10-cid2,chen,0.1,cid2,q0C0B,NA
chen-sd10-cid2,chen,0.1,cid2,q0C0D,NA
chen-sd10-cid2,chen,0.1,cid2,q1C1A,NA
chen-sd10-cid2,chen,0.1,cid2,q1C1B,NA
chen-sd10-cid2,chen,0.1,cid2,q1C1D,NA
chen-sd10-cid2,chen,0.1,cid2,q0D1D,NA
chen-sd10-cid2,chen,0.1,cid2,q1D0D,NA
chen-sd10-cid2,chen,0.1,cid2,q0D0A,NA
chen-sd10-cid2,chen,0.1,cid2,q0D0B,NA
chen-sd10-cid2,chen,0.1,cid2,q0D0C,NA
chen-sd10-cid2,chen,0.1,cid2,q1D1A,NA
chen-sd10-cid2,chen,0.1,cid2,q1D1B,NA
chen-sd10-cid2,chen,0.1,cid2,q1D1C,NA
chen-sd10-cid4-equal,chen,0.1,cid4,turnover0A,2.061153622438558e-9
chen-sd10-cid4-equal,chen,0.1,cid4,turnover1A,2.061153622438558e-9
chen-sd10-cid4-equal,chen,0.1,cid4,turnover0B,0.019910317836653393
chen-sd10-cid4-equal,chen,0.1,cid4,turnover1B,0.019910317836653393
chen-sd10-cid4-equal,chen,0.1,cid4,turnover0C,0.17724005840847792
chen-sd10-cid4-equal,chen,0.1,cid4,turnover1C,0.17724005840847792
chen-sd10-cid4-equal,chen,0.1,cid4,turnover0D,0.01991743620483846
chen-sd10-cid4-equal,chen,0.1,cid4,turnover1D,0.01991743620483846
chen-sd10-cid4-equal,chen,0.1,cid4,eps0A,2.061153622438558e-9
chen-sd10-cid4-equal,chen,0.1,cid4,q0A1A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1A0A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0A0B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0A0C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0A0D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1A1B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1A1C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1A1D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0B1B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1B0B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0B0A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0B0C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0B0D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1B1A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1B1C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1B1D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0C1C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1C0C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0C0A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0C0B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0C0D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1C1A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1C1B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1C1D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0D1D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1D0D,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0D0A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0D0B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q0D0C,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1D1A,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1D1B,0.04836302012760537
chen-sd10-cid4-equal,chen,0.1,cid4,q1D1C,0.04836302012760537
chen-sd10-cid4,chen,0.1,cid4,turnover0A,0.01985286733662134
chen-sd10-cid4,chen,0.1,cid4,turnover1A,0.01985286733662134
chen-sd10-cid4,chen,0.1,cid4,turnover0B,0.019846859737907237
chen-sd10-cid4,chen,0.1,cid4,turnover1B,0.019846859737907237
chen-sd10-cid4,chen,0.1,cid4,turnover0C,2.061153622438558e-9
chen-sd10-cid4,chen,0.1,cid4,turnover1C,2.061153622438558e-9
chen-sd10-cid4,chen,0.1,cid4,turnover0D,0.1770730387013185
chen-sd10-cid4,chen,0.1,cid4,turnover1D,0.1770730387013185
chen-sd10-cid4,chen,0.1,cid4,eps0A,2.061153622438558e-9
chen-sd10-cid4,chen,0.1,cid4,q0A1A,2.061153622438558e-9
chen-sd10-cid4,chen,0.1,cid4,q1A0A,0.03923945045315177
chen-sd10-cid4,chen,0.1,cid4,q0A0B,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0A0C,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0A0D,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1A1B,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1A1C,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1A1D,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0B1B,2.061153622438558e-9
chen-sd10-cid4,chen,0.1,cid4,q1B0B,0.03923945045315177
chen-sd10-cid4,chen,0.1,cid4,q0B0A,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0B0C,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0B0D,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1B1A,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1B1C,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1B1D,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0C1C,2.061153622438558e-9
chen-sd10-cid4,chen,0.1,cid4,q1C0C,0.03923945045315177
chen-sd10-cid4,chen,0.1,cid4,q0C0A,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0C0B,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q0C0D,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1C1A,0.04826193697173074
chen-sd10-cid4,chen,0.1,cid4,q1C1B,0.04826193697173074
